host,is_compromised,x,y,cluster
C10705,,6.0064616,4.1801066,0
C10707,,1.5424882,0.3590599,1
C10709,,10.612992,3.0514185,2
C10711,,9.423741,2.6293244,1
C10713,,6.4972367,8.773652,1
C10716,,16.450203,1.9304715,2
C10718,,14.258096,6.3581195,2
C10719,,1.4961333,0.29768094,1
C1072,,11.145633,-6.51425,1
C10725,,2.626517,1.1346712,1
C10728,,16.54745,1.9783714,2
C10730,,16.801226,4.870896,2
C10732,,16.478918,2.024835,2
C10736,,5.8264694,12.758435,0
C10739,,16.587973,1.6205691,2
C1074,,11.875006,-4.861258,1
C10741,,2.8718164,3.523475,0
C10743,,3.834324,2.0264556,1
C10747,,5.2912908,4.2086415,1
C10751,,11.430575,16.636196,2
C10753,,16.656384,1.4940468,2
C10755,,4.770083,4.6820583,1
C10757,,3.0790985,2.6923606,1
C10759,,11.886294,16.258196,2
C10760,,16.356445,1.8378065,2
C10762,,6.3997216,-0.2178147,1
C10764,,16.29218,1.8095998,2
C10766,,4.1939573,3.3490264,1
C10767,,11.109198,17.436787,2
C10768,,16.306406,1.7044042,2
C10770,,7.6527023,4.162234,2
C10772,,4.659074,4.7843666,0
C10774,,5.7119412,2.4842026,1
C10776,,11.186826,16.99198,2
C10777,,14.48329,-3.0464947,1
C10779,,16.316334,1.4604099,2
C1078,,11.456044,-5.534169,1
C10786,,15.944201,2.025846,2
C10790,,16.69028,1.8848069,2
C10794,,4.4126105,0.892572,1
C10796,,16.339947,1.8985244,2
C10798,,11.66885,17.176832,2
C10799,,11.498095,9.05198,2
C1080,,13.149917,-0.057878233,1
C10801,,9.181794,3.8653705,2
C10803,,6.0258064,4.181894,1
C10805,,11.083677,16.213404,2
C1081,,12.293231,-6.1684704,1
C10811,,7.188362,2.8744786,1
C10813,,16.258507,1.9291624,2
C10815,,6.7642527,4.302952,1
C10819,,16.807438,1.8500248,2
C1082,,-1.1068577,7.3972125,0
C10821,,16.269917,1.6636193,2
C10823,,4.915657,-0.16326411,1
C10827,,16.693825,1.5674542,2
C10829,,6.947162,3.6307836,1
C1083,,11.523079,-6.2340026,1
C10831,,11.719288,16.059366,2
C10833,,16.553642,1.5379001,2
C10835,,6.3708777,-0.25991222,1
C10837,,16.41599,1.759374,2
C10839,,16.533886,1.9315268,2
C1084,,10.063896,-0.079408616,1
C10841,,11.083595,14.135346,2
C10843,,11.5799265,3.1283944,2
C10846,,7.2232957,3.0344572,2
C10847,,1.9808894,-0.28215703,1
C10852,,11.178494,15.636983,2
C10856,,6.3973007,-0.2370559,1
C10858,,9.486844,3.9247317,2
C1086,,10.044309,-0.14985517,1
C10862,,5.6919146,12.685093,0
C10865,,12.140238,16.410717,2
C10867,,8.175271,2.399245,2
C1087,,10.460681,2.2274709,2
C10870,,11.088014,14.221422,2
C10872,,4.1667237,2.532929,1
C10874,,11.0856,17.144306,2
C10876,,11.138803,17.40456,2
C10880,,11.605858,16.529959,2
C10882,,11.155638,17.09225,2
C10884,,4.7159085,4.6788354,1
C10886,,12.324592,15.223184,2
C10888,,16.375662,1.9670882,2
C1089,,13.413161,-8.180135,2
C10890,,4.5629683,-1.2539091,1
C10892,,16.577536,1.5381402,2
C10894,,11.309279,17.610598,2
C10896,,16.570286,1.6474054,2
C109,,13.246455,-4.8216605,1
C1090,,-1.4277471,8.2006035,0
C10900,,11.64972,16.46009,2
C10901,,4.753201,-0.25299385,1
C10904,,12.437831,14.622827,2
C10907,,16.321238,1.5229324,2
C10909,,6.38366,3.539441,1
C10912,,1.6074919,0.41465837,1
C10914,,16.351257,1.8574728,2
C10916,,12.460417,14.618836,2
C10919,,10.754015,16.746794,2
C1092,,12.685928,-5.9003787,1
C10920,,1.9823271,9.234478,0
C10921,,14.138995,6.3026547,2
C10923,,16.338854,1.9725915,2
C10925,,9.112534,9.271918,2
C10927,,11.08918,16.248528,2
C1093,,13.211916,-0.076958746,1
C10931,,12.391426,14.79679,2
C10933,,16.706,1.641124,2
C10935,,5.5187187,12.620474,0
C10936,,4.5084543,2.5724618,1
C10941,,3.6188018,10.113937,0
C10942,,11.885671,17.24276,2
C10944,,16.557144,1.9920399,2
C10946,,11.044301,16.590717,2
C1095,,3.533408,10.427095,1
C10951,,6.510173,8.775958,1
C10952,,12.542766,14.433583,2
C10953,,4.195301,0.94664353,1
C10955,,5.206663,0.5234124,1
C10957,,7.2693777,4.116642,2
C10959,,6.0695505,12.806759,2
C10960,,11.650572,2.9811387,2
C10964,,13.1659355,5.7119727,2
C10966,,16.7046,1.7003639,2
C10968,,12.052579,16.375956,2
C1097,,11.177273,-4.4719715,1
C10970,,16.504461,2.0263283,2
C10972,,11.595756,17.178251,2
C10974,,7.2902756,2.9287746,2
C10976,,5.967794,-0.04323605,1
C10978,,16.589413,1.5710169,2
C1098,,12.638184,0.7559344,2
C10980,,3.0182426,2.5108087,1
C10984,,11.449239,8.126208,2
C10986,,11.031136,6.768894,2
C10988,,16.40443,1.9167686,2
C1099,,12.747737,-6.305424,1
C10990,,1.6895896,-0.5439288,1
C10992,,9.687571,4.122485,2
C10997,,11.296882,15.510012,2
C110,,10.108945,-0.07868797,1
C1100,,12.372176,-7.2928467,1
C11000,,1.1547445,3.4407802,0
C11001,,16.494253,1.6005424,2
C11003,,5.813373,12.767941,0
C11006,,11.098398,6.959966,2
C11009,,11.313461,17.223753,2
C1101,,-2.1850157,8.101494,0
C11011,,1.1519474,-0.5680297,1
C11013,,11.117663,15.034979,2
C11015,,11.756562,9.062029,2
C11017,,12.33236,15.0264225,2
C11021,,17.349365,4.889686,2
C11025,,16.589705,1.8656679,2
C11027,,11.833677,15.106991,2
C11029,,11.136168,16.456078,2
C1103,,-2.0058098,8.3673115,0
C11031,,6.7093053,4.237169,2
C11033,,7.0831165,3.4409575,1
C11035,,4.7567806,4.814399,0
C11037,,5.8197803,-0.81978923,1
C11039,,15.840568,1.9768343,2
C1104,,10.07095,-0.03382887,1
C11045,,7.2788815,1.9777573,1
C11047,,11.128467,15.700783,2
C11049,,9.180085,2.6302714,2
C1105,,-1.056988,7.594942,0
C11051,,12.302052,15.088909,2
C11053,,8.953441,3.5583687,2
C11057,,5.6574874,-0.19941925,1
C11059,,16.330542,1.6398664,2
C11061,,6.569262,3.5699408,2
C11065,,4.404635,0.78718674,1
C11067,,4.8758817,4.4397864,1
C11068,,8.661379,2.4350348,2
C11069,,11.537103,2.9298162,2
C1107,,10.964918,2.5882313,2
C11071,,6.100955,1.4217985,1
C11072,,6.454217,4.50558,1
C11074,,16.515827,1.8459492,2
C11077,,12.399061,14.761231,2
C1108,,7.0414696,10.0569725,2
C11080,,11.39786,16.010056,2
C11082,,5.3155985,4.2082596,1
C11086,,4.555574,-1.2175484,1
C11088,,16.94115,5.1886826,2
C11096,,11.021,15.818803,2
C11099,,6.384524,3.5259693,1
C1110,,-1.9729708,8.284826,0
C11101,,3.7271144,2.6268387,1
C11103,,7.6343255,3.0508347,2
C11105,,6.4782653,3.4363737,2
C11108,,5.8037157,3.2278597,1
C1111,,-1.5390995,8.214887,0
C11110,,7.2632747,4.226002,2
C11114,,8.52821,9.791952,2
C11116,,5.5704274,0.15369466,1
C11118,,1.0951608,-0.61143595,1
C1112,,11.10287,-4.465648,1
C11120,,16.550453,1.9745191,2
C11122,,16.52176,1.9159564,2
C11125,,11.442182,8.091336,2
C11127,,5.326848,4.1811686,1
C11129,,11.044157,6.7890635,2
C11132,,11.51382,9.101966,2
C11134,,16.511309,1.9321605,2
C11136,,14.281737,6.2873235,2
C11138,,14.419426,6.2203584,2
C11139,,14.455212,-3.0237086,1
C11142,,7.955482,9.631833,2
C11143,,11.172023,16.475494,2
C11145,,4.889838,4.523376,1
C11147,,4.9040327,-0.08411689,1
C11149,,11.079275,14.1861105,2
C11153,,6.3260407,-0.034130033,1
C11155,,5.446807,4.463898,1
C11157,,7.0315857,4.311357,1
C11159,,16.396935,2.158121,2
C1116,,-1.2653006,7.3352847,0
C11161,,8.456845,9.879709,2
C11163,,14.56922,-3.5306082,1
C11165,,11.124463,14.527774,2
C11167,,5.4590816,4.387393,1
C11171,,1.6895826,-0.5540594,1
C11173,,6.1776023,12.820572,2
C11174,,14.145317,6.3896627,2
C11176,,12.315028,15.2126255,2
C11178,,11.701797,15.587662,2
C11180,,11.0613575,6.8405714,2
C11182,,11.084899,16.595291,2
C11188,,11.23261,15.671994,2
C1119,,13.655123,0.7087395,2
C11190,,11.109192,17.287682,2
C11192,,4.9507976,2.0692616,1
C11194,,11.241569,16.453716,2
C11196,,11.066876,14.164428,2
C11198,,7.466706,2.5002341,1
C1120,,12.317221,-7.2876225,1
C11202,,9.373827,4.427626,2
C11204,,6.281228,0.0759399,1
C11206,,11.141419,16.298733,2
C11208,,4.419718,0.96530724,1
C11210,,16.629461,1.5827615,2
C11212,,0.7617176,3.3006802,0
C11213,,11.468549,3.3485167,2
C11215,,6.860226,2.2707756,1
C11217,,3.4678788,2.2066875,1
C11219,,16.468225,1.4145252,2
C1122,,12.191809,-5.207625,1
C11223,,2.1885178,0.89339864,1
C11225,,11.078457,14.123232,2
C11231,,11.227742,15.944861,2
C11233,,1.642265,0.47611812,1
C11238,,14.540418,6.1148796,2
C11242,,6.4870234,4.4614224,1
C11244,,16.611744,1.9886123,2
C11246,,16.553972,1.97546,2
C11248,,9.862851,3.9209952,2
C11251,,8.002651,4.5044217,2
C11253,,6.3364797,1.4951625,1
C11255,,5.140623,4.699252,1
C11257,,14.403868,4.99798,2
C11258,,7.7003627,2.1966262,1
C11260,,8.640184,3.1095908,2
C11264,,11.254944,7.4689984,2
C11267,,16.773333,1.7828842,2
C11268,,11.6895685,16.574669,2
C11270,,5.19929,4.61149,1
C11272,,12.29193,15.023354,2
C11274,,14.168458,6.36993,2
C11276,,14.305504,6.357688,2
C11278,,7.1626396,4.2253942,2
C11281,,1.4439911,0.22321892,1
C11283,,14.176782,6.368981,2
C11285,,16.680079,1.652978,2
C11286,,12.241471,16.984629,2
C11288,,11.871137,15.1438675,2
C11290,,4.8210125,-1.259835,1
C11292,,16.153814,1.4785573,2
C11294,,11.163477,15.5610285,2
C11296,,16.115929,2.1145487,2
C11298,,3.9075952,2.15379,1
C113,,11.040322,-3.8229394,1
C1130,,13.539351,0.68297684,2
C11301,,11.034589,16.49692,2
C11303,,16.609661,1.9526783,2
C11305,,2.2330503,0.9056999,1
C11307,,4.7506824,4.5809526,1
C11309,,16.72016,1.6479397,2
C1131,,12.001574,-6.827756,1
C11311,,16.625809,1.5357721,2
C11313,,6.5222673,3.5379477,2
C11315,,8.762225,9.964803,2
C11317,,7.609496,2.9805026,1
C11319,,1.5406679,0.32594153,1
C1132,,9.805541,-0.32616523,1
C11321,,16.471085,2.1145563,2
C11325,,16.76962,1.8460469,2
C11327,,4.7129683,4.465496,1
C1133,,11.528627,-5.2024717,1
C11330,,11.000046,6.7146125,2
C11332,,3.8700392,2.8837633,1
C11334,,5.396755,4.7257566,1
C11336,,9.218918,9.2199135,2
C11338,,16.356379,2.1649835,2
C1134,,-0.702779,7.7803373,0
C11340,,8.576936,2.8845215,2
C11342,,14.936705,5.2951856,2
C11344,,6.337088,-0.14180502,1
C11346,,8.558384,9.926368,2
C11348,,5.5898433,-1.0457399,1
C1135,,12.89951,0.1930886,2
C11350,,11.219278,17.20578,2
C11352,,2.0660834,0.05505084,1
C11354,,9.04357,2.605692,2
C11356,,1.6769195,-0.63911396,1
C11358,,8.970775,2.7021625,2
C1136,,-2.1668768,8.121682,0
C11360,,11.403702,15.990618,2
C11362,,1.6441243,0.45164397,1
C11364,,16.704927,1.7852178,2
C11366,,14.32876,6.293208,2
C1137,,-0.916951,7.9238043,0
C11370,,10.495414,4.765758,2
C11374,,16.314693,1.6661521,2
C11376,,9.683394,3.9494915,2
C11378,,1.9230493,-0.33313757,1
C11380,,6.2153716,3.9066627,1
C11382,,6.4166565,-0.17693983,1
C11386,,11.127924,15.825277,2
C11388,,12.113286,14.349958,2
C1139,,13.406593,-8.162998,2
C11391,,16.301193,1.6268548,2
C11392,,3.607793,2.2977111,1
C11394,,5.62154,-0.9975261,1
C11395,,4.5251904,-1.2297094,1
C11398,,16.53561,1.9670604,2
C11400,,14.347394,6.1451464,2
C11402,,14.375022,6.271519,2
C11404,,0.17259979,3.204802,0
C11405,,16.551828,2.0404162,2
C11408,,11.337718,15.667318,2
C11410,,4.766733,4.7624235,1
C11412,,4.55658,-0.86376125,1
C11414,,16.356197,1.8538542,2
C11418,,4.591138,-1.1384478,1
C1142,,7.3078547,9.681453,2
C11420,,11.759819,15.637125,2
C11421,,2.5866725,3.4227827,0
C11425,,11.119647,2.9940886,2
C11427,,5.7380867,-0.21959156,1
C11431,,14.7074585,-4.2134557,1
C11433,,11.331882,17.179728,2
C11435,,11.454842,16.769737,2
C11437,,5.5999236,-0.16957583,1
C11439,,8.883942,3.61672,2
C11441,,11.6680765,17.323,2
C11449,,4.5753746,0.76121265,1
C1145,,-1.5436467,8.314132,0
C11451,,11.094108,17.49968,2
C11453,,11.313523,17.45943,2
C11455,,7.5229373,9.557473,2
C11457,,16.371643,2.185993,2
C11459,,9.316701,3.7404726,2
C1146,,10.600986,1.9615628,2
C11461,,17.459293,4.821051,2
C11467,,8.285112,3.974531,2
C11468,,16.609182,1.8442539,2
C11470,,14.57214,5.3385196,2
C11472,,16.5533,1.8536474,2
C11474,,5.902561,12.743208,0
C11475,,12.527343,14.452454,2
C11477,,16.681301,1.6149577,2
C1148,,12.939014,0.30309957,2
C11481,,6.351801,2.6864681,1
C11484,,16.501863,5.1102858,2
C11488,,9.252897,9.183309,2
C1149,,10.241762,2.3694105,2
C11490,,3.9065742,4.262466,0
C11492,,12.006699,17.018053,2
C11494,,11.020256,6.7423744,2
C11496,,17.31103,5.128307,2
C11498,,11.536139,2.934612,1
C11499,,10.713936,16.507439,2
C1150,,12.396578,-7.000807,1
C11501,,4.9292493,2.787407,1
C11504,,4.061152,1.569835,1
C11506,,16.452587,2.139261,2
C11508,,11.605165,8.571388,2
C1151,,11.921505,-5.7840085,1
C11514,,4.5731893,-1.2697567,1
C11516,,3.8110912,4.8437934,1
C11517,,9.164711,2.5388384,1
C11519,,5.3553762,4.323063,1
C11523,,4.8848276,0.5972485,1
C11525,,11.781567,8.995312,2
C11527,,6.0559244,1.416986,1
C11531,,6.349128,-0.030577764,1
C11533,,4.9538817,2.1257424,1
C11535,,12.561183,14.405276,2
C11537,,8.956682,2.7874203,2
C11539,,5.125257,0.5784331,1
C1154,,11.499493,-5.8392415,1
C11541,,11.813578,9.109532,2
C11543,,14.069504,6.3743906,2
C11545,,9.093746,2.6231575,2
C11547,,11.483835,15.294734,2
C11549,,16.355433,1.3468039,2
C11551,,16.691198,1.8366597,2
C11553,,5.5007043,2.4133232,1
C11555,,4.7308335,-0.29810023,1
C11557,,8.7482815,9.94534,2
C11559,,1.1842684,3.4615278,0
C1156,,10.750823,1.4320275,2
C11560,,4.492979,-0.95593154,1
C11562,,9.341982,2.9387703,2
C11564,,8.824516,9.917864,2
C11569,,10.8898535,16.946852,2
C11571,,7.6320195,3.4517968,2
C11573,,10.18811,3.2010217,2
C11574,,6.3991494,-0.24262196,1
C11576,,16.588726,1.9762676,2
C11578,,2.6037884,3.3797362,0
