host,dns_unique_dst,dns_total_queries,auth_unique_users,auth_total_events,auth_failed,proc_unique_processes,proc_total_events,is_compromised
C10112,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0
C10116,13.0,127.0,0.0,0.0,0.0,0.0,0.0,0
C1012,0.0,0.0,3.0,117.0,0.0,13.0,100.0,0
C10121,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0
C10125,17.0,27.0,0.0,0.0,0.0,0.0,0.0,0
C10127,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0
C1013,0.0,0.0,1.0,80.0,0.0,10.0,94.0,0
C10131,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0
C10134,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0
C1014,0.0,0.0,2.0,98.0,0.0,12.0,96.0,0
C10140,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0
C10148,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0
C1015,10.0,10.0,8.0,812.0,0.0,0.0,0.0,0
C10152,19.0,86.0,0.0,0.0,0.0,0.0,0.0,0
C1016,1.0,3.0,2.0,65.0,0.0,13.0,97.0,0
C10165,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0
C1017,0.0,0.0,1.0,61.0,0.0,11.0,97.0,0
C1018,11.0,19.0,3.0,89.0,0.0,15.0,112.0,0
C10187,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0
C10189,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0
C1019,2.0,2.0,2.0,88.0,0.0,14.0,197.0,0
C10191,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0
C102,0.0,0.0,3.0,77.0,0.0,0.0,0.0,0
C1020,0.0,0.0,3.0,113.0,0.0,13.0,96.0,0
C1021,0.0,0.0,2.0,60.0,0.0,19.0,267.0,0
C10219,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0
C1022,4.0,5.0,1.0,37.0,0.0,13.0,206.0,0
C1023,0.0,0.0,1.0,45.0,0.0,12.0,110.0,0
C10239,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0
C1024,0.0,0.0,2.0,74.0,0.0,13.0,90.0,0
C1025,1.0,1.0,4.0,523.0,0.0,0.0,0.0,0
C1026,0.0,0.0,1.0,57.0,0.0,13.0,62.0,0
C10260,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0
C10267,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0
C1027,0.0,0.0,2.0,86.0,0.0,14.0,98.0,0
C10279,8.0,34.0,0.0,0.0,0.0,0.0,0.0,0
C1028,0.0,0.0,2.0,327.0,0.0,8.0,230.0,0
C10281,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0
C1029,0.0,0.0,1.0,79.0,0.0,10.0,92.0,0
C10299,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0
C1030,0.0,0.0,2.0,88.0,0.0,35.0,126.0,0
C1031,0.0,0.0,3.0,131.0,0.0,15.0,361.0,0
C10313,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C1032,0.0,0.0,2.0,57.0,0.0,14.0,220.0,0
C10328,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0
C1033,0.0,0.0,3.0,137.0,0.0,13.0,99.0,0
C10330,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0
C10331,13.0,27.0,0.0,0.0,0.0,0.0,0.0,0
C10336,11.0,49.0,0.0,0.0,0.0,0.0,0.0,0
C1034,0.0,0.0,1.0,3.0,0.0,13.0,99.0,0
C10340,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0
C10345,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0
C1035,9.0,18.0,1.0,130.0,0.0,10.0,391.0,0
C10355,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0
C1036,0.0,0.0,2.0,108.0,0.0,9.0,85.0,0
C10364,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0
C1037,0.0,0.0,2.0,63.0,0.0,13.0,98.0,0
C10378,15.0,46.0,0.0,0.0,0.0,0.0,0.0,0
C1038,0.0,0.0,2.0,81.0,0.0,14.0,108.0,0
C1039,0.0,0.0,3.0,108.0,0.0,13.0,92.0,0
C10397,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0
C10399,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C1040,0.0,0.0,2.0,87.0,0.0,17.0,107.0,0
C10401,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C10407,18.0,31.0,0.0,0.0,0.0,0.0,0.0,0
C1041,0.0,0.0,1.0,76.0,0.0,13.0,622.0,0
C10417,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0
C1042,0.0,0.0,5.0,342.0,0.0,63.0,2896.0,0
C1043,0.0,0.0,2.0,105.0,0.0,18.0,113.0,0
C10430,19.0,1075.0,0.0,0.0,0.0,0.0,0.0,0
C10438,15.0,148.0,0.0,0.0,0.0,0.0,0.0,0
C1044,0.0,0.0,2.0,99.0,0.0,11.0,86.0,0
C10442,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0
C1045,1.0,1.0,3.0,113.0,6.0,18.0,285.0,0
C1046,1.0,1.0,3.0,49.0,0.0,6.0,96.0,0
C1047,0.0,0.0,2.0,103.0,0.0,12.0,92.0,0
C1048,0.0,0.0,3.0,117.0,0.0,12.0,93.0,0
C1049,0.0,0.0,1.0,54.0,0.0,10.0,63.0,0
C10490,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0
C10495,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0
C10497,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0
C105,0.0,0.0,35.0,9067.0,24.0,0.0,0.0,0
C1050,0.0,0.0,2.0,187.0,0.0,11.0,101.0,0
C1051,2.0,2.0,2.0,87.0,0.0,13.0,93.0,0
C10514,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0
C1052,0.0,0.0,1.0,58.0,0.0,11.0,86.0,0
C10529,27.0,1483.0,0.0,0.0,0.0,0.0,0.0,0
C1053,4.0,5.0,3.0,93.0,0.0,13.0,93.0,0
C10533,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C10537,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0
C1054,0.0,0.0,1.0,39.0,0.0,11.0,90.0,0
C10541,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0
C10545,13.0,112.0,0.0,0.0,0.0,0.0,0.0,0
C1055,0.0,0.0,1.0,34.0,0.0,17.0,105.0,0
C10551,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C10554,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0
C10557,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0
C1056,0.0,0.0,14.0,771.0,0.0,10.0,158.0,0
C10563,13.0,18.0,0.0,0.0,0.0,0.0,0.0,0
C10570,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0
C10576,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0
C1058,0.0,0.0,2.0,88.0,0.0,15.0,136.0,0
C10585,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0
C1059,3.0,4.0,2.0,85.0,0.0,13.0,182.0,0
C106,1.0,1.0,2.0,69.0,0.0,13.0,103.0,0
C1060,0.0,0.0,1.0,65.0,0.0,11.0,92.0,0
C1061,0.0,0.0,1.0,49.0,0.0,6.0,71.0,0
C10611,6.0,73.0,0.0,0.0,0.0,0.0,0.0,0
C10616,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0
C1062,0.0,0.0,3.0,101.0,0.0,14.0,109.0,0
C10624,15.0,90.0,0.0,0.0,0.0,0.0,0.0,0
C1063,0.0,0.0,2.0,68.0,0.0,13.0,106.0,0
C10636,18.0,114.0,0.0,0.0,0.0,0.0,0.0,0
C1064,0.0,0.0,2.0,72.0,0.0,11.0,92.0,0
C1065,1.0,1.0,2426.0,33424.0,170.0,8.0,168.0,0
C1066,3.0,3.0,3.0,81.0,0.0,0.0,0.0,0
C10660,11.0,18.0,0.0,0.0,0.0,0.0,0.0,0
C10664,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0
C10668,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0
C1067,8.0,11.0,2.0,89.0,0.0,14.0,101.0,0
C10675,13.0,95.0,0.0,0.0,0.0,0.0,0.0,0
C10677,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0
C1068,0.0,0.0,1.0,75.0,0.0,10.0,96.0,0
C10682,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0
C1069,0.0,0.0,2.0,67.0,0.0,15.0,102.0,0
C10694,23.0,282.0,0.0,0.0,0.0,0.0,0.0,0
C10695,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C107,0.0,0.0,1.0,55.0,0.0,11.0,88.0,0
C1070,0.0,0.0,1.0,72.0,0.0,11.0,87.0,0
C10704,11.0,47.0,0.0,0.0,0.0,0.0,0.0,0
C1071,0.0,0.0,2.0,45.0,0.0,12.0,89.0,0
C10713,28.0,1096.0,0.0,0.0,0.0,0.0,0.0,0
C10719,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C1072,1.0,1.0,1.0,54.0,0.0,11.0,93.0,0
C1073,0.0,0.0,3.0,127.0,0.0,17.0,93.0,0
C10730,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0
C10736,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C10738,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0
C1074,11.0,20.0,2.0,82.0,0.0,13.0,103.0,0
C1075,0.0,0.0,2.0,50.0,0.0,7.0,454.0,0
C10755,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0
C1076,0.0,0.0,1.0,45.0,0.0,11.0,89.0,0
C1077,0.0,0.0,1.0,70.0,0.0,11.0,87.0,0
C10772,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0
C10774,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0
C1078,2.0,3.0,1.0,63.0,0.0,11.0,88.0,0
C10788,11.0,26.0,0.0,0.0,0.0,0.0,0.0,0
C1079,0.0,0.0,1.0,55.0,0.0,11.0,88.0,0
C10799,19.0,73.0,0.0,0.0,0.0,0.0,0.0,0
C108,3.0,3.0,1.0,63.0,0.0,11.0,148.0,0
C1080,0.0,0.0,1.0,39.0,0.0,10.0,84.0,0
C10801,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0
C10803,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0
C10807,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0
C10809,11.0,22.0,0.0,0.0,0.0,0.0,0.0,0
C1081,0.0,0.0,2.0,77.0,0.0,14.0,95.0,0
C10811,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0
C1082,13.0,20.0,2.0,77.0,0.0,15.0,108.0,0
C10825,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C10829,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0
C1083,0.0,0.0,2.0,110.0,0.0,11.0,91.0,0
C1084,0.0,0.0,2.0,88.0,0.0,15.0,105.0,0
C1085,0.0,0.0,18.0,6393.0,22.0,16.0,3105.0,0
C1086,0.0,0.0,3.0,116.0,0.0,14.0,102.0,0
C10860,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0
C1087,1.0,1.0,2.0,64.0,0.0,17.0,166.0,0
C10870,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0
C1088,1.0,3.0,1.0,62.0,0.0,10.0,90.0,0
C10886,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0
C1089,19.0,27.0,4.0,299.0,1.0,57.0,2727.0,0
C109,0.0,0.0,3.0,61.0,0.0,7.0,162.0,0
C1090,7.0,21.0,2.0,84.0,0.0,16.0,126.0,0
C10904,13.0,47.0,0.0,0.0,0.0,0.0,0.0,0
C1091,0.0,0.0,1.0,44.0,0.0,11.0,178.0,0
C10916,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0
C10919,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0
C1092,0.0,0.0,2.0,98.0,0.0,12.0,205.0,0
C10925,21.0,571.0,0.0,0.0,0.0,0.0,0.0,0
C1093,0.0,0.0,1.0,64.0,0.0,11.0,94.0,0
C10931,12.0,30.0,0.0,0.0,0.0,0.0,0.0,0
C1095,0.0,0.0,1.0,19.0,0.0,0.0,0.0,0
C10951,25.0,769.0,0.0,0.0,0.0,0.0,0.0,0
C10952,18.0,120.0,0.0,0.0,0.0,0.0,0.0,0
C10957,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0
C1096,5.0,5.0,1.0,67.0,0.0,14.0,94.0,0
C10962,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0
C10966,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0
C1097,0.0,0.0,1.0,51.0,0.0,11.0,86.0,0
C10970,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0
C1098,2.0,2.0,2.0,119.0,0.0,20.0,115.0,0
C10984,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C1099,0.0,0.0,2.0,96.0,0.0,11.0,90.0,0
C10992,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0
C10999,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0
C11,0.0,0.0,2.0,74.0,0.0,0.0,0.0,0
C110,0.0,0.0,1.0,39.0,0.0,11.0,88.0,0
C1100,3.0,3.0,2.0,68.0,0.0,17.0,103.0,0
C11003,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0
C11004,19.0,1392.0,0.0,0.0,0.0,0.0,0.0,0
C1101,0.0,0.0,2.0,61.0,0.0,17.0,271.0,0
C11011,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0
C11015,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0
C11017,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0
C1102,13.0,321.0,2.0,130.0,0.0,12.0,85.0,0
C11027,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0
C1103,0.0,0.0,2.0,91.0,0.0,14.0,198.0,0
C11033,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0
C11037,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0
C11039,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0
C1104,0.0,0.0,2.0,77.0,0.0,11.0,90.0,0
C11044,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0
C11049,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0
C1105,11.0,22.0,3.0,122.0,0.0,13.0,102.0,0
C11051,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0
C11055,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0
C11059,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C1106,7.0,34.0,2.0,48.0,0.0,11.0,174.0,0
C11061,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0
C11069,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0
C1107,8.0,20.0,2.0,83.0,0.0,16.0,109.0,0
C11077,12.0,25.0,0.0,0.0,0.0,0.0,0.0,0
C1108,21.0,1071.0,1.0,62.0,0.0,11.0,88.0,0
C11082,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0
C1109,0.0,0.0,2.0,118.0,0.0,12.0,107.0,0
C11092,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0
C11094,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0
C111,0.0,0.0,1.0,74.0,0.0,14.0,94.0,0
C1110,0.0,0.0,2.0,65.0,0.0,14.0,227.0,0
C11103,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0
C1111,7.0,8.0,2.0,64.0,0.0,19.0,212.0,0
C11114,25.0,970.0,0.0,0.0,0.0,0.0,0.0,0
C11118,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0
C1112,0.0,0.0,1.0,48.0,0.0,11.0,86.0,0
C11120,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0
C11124,4.0,35.0,0.0,0.0,0.0,0.0,0.0,0
C11129,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0
C1113,0.0,0.0,1.0,54.0,0.0,11.0,172.0,0
C11132,18.0,36.0,0.0,0.0,0.0,0.0,0.0,0
C11138,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0
C11139,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0
C11142,30.0,1557.0,0.0,0.0,0.0,0.0,0.0,0
C11147,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0
C1115,0.0,0.0,35.0,10507.0,67.0,0.0,0.0,0
C11157,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0
C1116,0.0,0.0,2.0,77.0,0.0,14.0,96.0,0
C11161,24.0,1165.0,0.0,0.0,0.0,0.0,0.0,0
C11163,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0
C11167,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0
C1117,0.0,0.0,3.0,126.0,0.0,20.0,210.0,0
C11176,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0
C1118,0.0,0.0,1.0,52.0,0.0,13.0,93.0,0
C1119,0.0,0.0,2.0,74.0,0.0,11.0,92.0,0
C112,0.0,0.0,2.0,75.0,0.0,13.0,95.0,0
C1120,0.0,0.0,1.0,38.0,0.0,17.0,103.0,0
C1121,0.0,0.0,2.0,8.0,0.0,7.0,139.0,0
C11217,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C1122,9.0,30.0,3.0,168.0,0.0,14.0,100.0,0
C1123,0.0,0.0,2.0,52.0,0.0,14.0,148.0,0
C11238,11.0,20.0,0.0,0.0,0.0,0.0,0.0,0
C1124,0.0,0.0,1.0,38.0,0.0,9.0,148.0,0
C1125,0.0,0.0,3.0,98.0,0.0,15.0,125.0,0
C11255,6.0,45.0,0.0,0.0,0.0,0.0,0.0,0
C1126,0.0,0.0,2.0,98.0,0.0,12.0,90.0,0
C1127,0.0,0.0,2.0,111.0,0.0,11.0,92.0,0
C11270,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0
C11272,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0
C1128,0.0,0.0,1.0,46.0,0.0,10.0,90.0,0
C11281,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0
C11288,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0
C1129,0.0,0.0,2.0,81.0,0.0,13.0,101.0,0
C11290,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C11298,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C113,0.0,0.0,2.0,84.0,0.0,16.0,100.0,0
C1130,11.0,17.0,2.0,114.0,0.0,12.0,88.0,0
C11303,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0
C1131,0.0,0.0,1.0,34.0,0.0,14.0,111.0,0
C11315,18.0,805.0,0.0,0.0,0.0,0.0,0.0,0
C11317,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0
C1132,0.0,0.0,1.0,65.0,0.0,12.0,103.0,0
C11327,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0
C1133,0.0,0.0,1.0,37.0,0.0,11.0,91.0,0
C11332,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0
C11334,13.0,20.0,0.0,0.0,0.0,0.0,0.0,0
C11336,19.0,259.0,0.0,0.0,0.0,0.0,0.0,0
C11338,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0
C1134,11.0,37.0,2.0,133.0,0.0,11.0,94.0,0
C11346,20.0,1071.0,0.0,0.0,0.0,0.0,0.0,0
C11348,13.0,23.0,0.0,0.0,0.0,0.0,0.0,0
C1135,0.0,0.0,2.0,79.0,0.0,13.0,98.0,0
C1136,0.0,0.0,3.0,128.0,0.0,16.0,467.0,0
C11366,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C1137,9.0,39.0,2.0,112.0,0.0,11.0,93.0,0
C11370,8.0,27.0,0.0,0.0,0.0,0.0,0.0,0
C1138,0.0,0.0,1.0,54.0,0.0,10.0,36.0,0
C11388,12.0,28.0,0.0,0.0,0.0,0.0,0.0,0
C1139,0.0,0.0,4.0,320.0,1.0,56.0,2673.0,0
C11394,12.0,44.0,0.0,0.0,0.0,0.0,0.0,0
C114,15.0,46.0,1.0,80.0,0.0,10.0,93.0,0
C1140,0.0,0.0,1.0,58.0,0.0,11.0,94.0,0
C11400,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0
C11402,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0
C1141,9.0,12.0,2.0,40.0,0.0,5.0,92.0,0
C11410,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0
C1142,21.0,2070.0,2.0,81.0,0.0,13.0,94.0,0
C11427,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0
C1143,0.0,0.0,2.0,103.0,0.0,16.0,102.0,0
C1144,6.0,35.0,1.0,88.0,0.0,10.0,93.0,0
C11445,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0
C1145,4.0,7.0,3.0,133.0,0.0,14.0,108.0,0
C11455,16.0,3102.0,0.0,0.0,0.0,0.0,0.0,0
C11459,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0
C1146,0.0,0.0,2.0,115.0,0.0,12.0,103.0,0
C11467,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C1147,1.0,1.0,2.0,78.0,0.0,15.0,111.0,0
C11475,16.0,31.0,0.0,0.0,0.0,0.0,0.0,0
C11479,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0
C1148,6.0,13.0,3.0,93.0,0.0,13.0,95.0,0
C11486,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0
C11488,22.0,226.0,0.0,0.0,0.0,0.0,0.0,0
C1149,1.0,1.0,4.0,203.0,12.0,11.0,37.0,0
C11491,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C115,0.0,0.0,1.0,50.0,0.0,7.0,132.0,0
C1150,0.0,0.0,2.0,72.0,0.0,14.0,101.0,0
C1151,3.0,3.0,2.0,92.0,0.0,11.0,93.0,0
C1152,24.0,51.0,4.0,639.0,0.0,8.0,361.0,0
C11525,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0
C11529,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0
C1153,7.0,7.0,2.0,57.0,0.0,9.0,94.0,0
C11535,18.0,60.0,0.0,0.0,0.0,0.0,0.0,0
C1154,0.0,0.0,1.0,73.0,0.0,11.0,96.0,0
C11547,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0
C1155,0.0,0.0,2.0,71.0,0.0,11.0,54.0,0
C11551,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C11553,9.0,72.0,0.0,0.0,0.0,0.0,0.0,0
C11557,24.0,848.0,0.0,0.0,0.0,0.0,0.0,0
C1156,0.0,0.0,2.0,58.0,0.0,14.0,143.0,0
C11564,20.0,750.0,0.0,0.0,0.0,0.0,0.0,0
C1157,0.0,0.0,1.0,49.0,0.0,10.0,171.0,0
C11571,18.0,47.0,0.0,0.0,0.0,0.0,0.0,0
C1158,0.0,0.0,1.0,42.0,0.0,12.0,94.0,0
C11589,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0
C1159,3.0,12.0,2.0,89.0,0.0,11.0,89.0,0
C11593,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0
C11594,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0
C11596,14.0,25.0,0.0,0.0,0.0,0.0,0.0,0
C116,0.0,0.0,1.0,53.0,0.0,11.0,90.0,0
C1160,3.0,3.0,2.0,124.0,0.0,17.0,100.0,0
C11600,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0
C11605,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0
C1161,0.0,0.0,2.0,60.0,0.0,18.0,110.0,0
C1162,0.0,0.0,2.0,98.0,0.0,13.0,98.0,0
C11622,17.0,56.0,0.0,0.0,0.0,0.0,0.0,0
C1163,13.0,40.0,1.0,83.0,0.0,10.0,93.0,0
C1164,16.0,28.0,2.0,102.0,0.0,33.0,159.0,0
C11641,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0
C11643,21.0,154.0,0.0,0.0,0.0,0.0,0.0,0
C11646,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0
C11648,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0
C1165,8.0,14.0,2.0,41.0,0.0,14.0,98.0,0
C11650,11.0,21.0,0.0,0.0,0.0,0.0,0.0,0
C11654,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C11658,20.0,717.0,0.0,0.0,0.0,0.0,0.0,0
C1166,0.0,0.0,1.0,84.0,0.0,12.0,88.0,0
C11663,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0
C1167,17.0,21.0,3.0,145.0,0.0,14.0,99.0,0
C1168,11.0,36.0,2.0,58.0,0.0,13.0,95.0,0
C11686,12.0,23.0,0.0,0.0,0.0,0.0,0.0,0
C11688,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0
C1169,22.0,58.0,1.0,50.0,0.0,11.0,90.0,0
C11697,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0
C117,0.0,0.0,3.0,106.0,0.0,15.0,105.0,0
C1170,0.0,0.0,2.0,112.0,0.0,11.0,92.0,0
C1171,0.0,0.0,3.0,125.0,0.0,14.0,136.0,0
C11714,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0
C1172,0.0,0.0,1.0,30.0,0.0,11.0,89.0,0
C1173,4.0,4.0,11.0,73.0,0.0,9.0,160.0,0
C11731,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0
C11738,17.0,44.0,0.0,0.0,0.0,0.0,0.0,0
C1174,0.0,0.0,1.0,47.0,0.0,13.0,92.0,0
C11741,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0
C11743,10.0,77.0,0.0,0.0,0.0,0.0,0.0,0
